Identifier	Character	Dialogue	Filename	Line Number
dream_one_46daf088	v	Failure.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	17
dream_one_f80caaf0	f	Did you ever stop and consider anyone else in your life apart from yourself?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	18
dream_one_7256cf5d	fang	Of course I have!	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	21
dream_one_a674a270	f	Saying is one thing.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	22
dream_one_55b8ff4c	f	Doing is another.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	23
dream_one_1b238016	f	Your actions so far only prove your selfishness.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	24
dream_one_58dbfda5	fang	Is there a reason to place something else before my own sense of self?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	27
dream_one_a355c994	f	That is a answer you will discover yourself.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	28
dream_one_dd49be7c	f	I do not exist to guide you.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	29
dream_one_b26351be	f	My reasons for my actions are beyond materialized concepts.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	30
dream_one_9fcc672a	f	The mother pities you urchin.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	31
dream_one_4a512bef	f	I do not.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	32
dream_one_2dbc0370	f	I will remind you of your sins.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	33
dream_one_30901eeb	f	from this day on the choices you make.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	34
dream_one_a0150b86	f	the actions you take	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	35
dream_one_0f5903a0	f	they will be observed.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	36
dream_one_86108569	f	Will you choose to dirty your hands?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	37
dream_one_6ee6a5fa	f	Will you save and defend people?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	38
dream_one_ba8df5dc	f	You are alone.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	39
dream_one_a5cd1273	f	You will be alone.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	40
dream_one_5a803fad	f	You will be judged every moment.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	41
dream_one_convo_87d22da6	f	Something you can't comprehend.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	46
dream_one_convo_7fa665cf	f	I may be a part of you.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	47
dream_one_convo_470cfe61	f	An incarnation of your guilt, self hate or frustrations.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	48
dream_one_convo_bdb6f4dc	f	I may be a passing thought.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	49
dream_one_convo_16bcbdad	f	I may be the essence of your character with autonomy.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	50
dream_one_convo_b2df5566	f	You will have to define me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	51
Beijing_chapter_one_a094591c	na	Republic of China - 1937 \n Peiping	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	4
Beijing_chapter_one_6a01ca52	no	Are these you memories??!?!?!?!?!?!?!	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	5
Beijing_chapter_one_a54d18d3	no	The father calls you.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	6
Beijing_chapter_one_15c42b02	no	WHERE ARE YOU	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	8
Beijing_chapter_one_67d25b5e	no	SHOW YOURSELF	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	9
Beijing_chapter_one_25d91ddf	no	SHOW YOURSELF!!!!!	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	10
Beijing_chapter_one_0173f9b9	un	Fang	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	14
Beijing_chapter_one_28460164	un	...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	15
Beijing_chapter_one_bb3a5d67	un	You awake?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	16
Beijing_chapter_one_c82ab9b9		The faint figure was only a silhouette in my half opened eyes.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	17
Beijing_chapter_one_6dc3f72d	un	Sounded like you were having a nightmare of some sort.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	18
Beijing_chapter_one_a238ff1b		I had waited so long for him to arrive for this interview I had fallen asleep in this god awful uncomfortable chair.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	19
Beijing_chapter_one_b4317668	un	That's good.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	23
Beijing_chapter_one_ec5a327e		The silhouette moved around a bit more as I tried to gain focus.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	24
Beijing_chapter_one_2d3dbc10	un	It is important you answer these questions properly.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	25
Beijing_chapter_one_b4033e09	un	I will go through them one by one.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	26
Beijing_chapter_one_f17095d9	un	Alright?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	27
Beijing_chapter_one_e4f0d0a0	un	Do not fret.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	31
Beijing_chapter_one_3efd327e	fang	Yes I understand.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	32
Beijing_chapter_one_125cd8c7	un	Good.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	33
Beijing_chapter_one_1ce64dff	un	We're here for you.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	34
Beijing_chapter_one_67fc0184	un	Let's get this over with.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	35
Beijing_chapter_one_445f30c0		That thought was calming to me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	36
Beijing_chapter_one_10628bc3		Tough times needed tough people or support.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	37
Beijing_chapter_one_38bb5b80		In this case I knew what I needed.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	38
Beijing_chapter_one_ee375da6		I knew I had screwed up...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	39
Beijing_chapter_one_22abe01f		Protesting and rebelling.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	40
Beijing_chapter_one_37903f94		Showing the power of a voice without hope.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	41
Beijing_chapter_one_7df21d04		Of harsh unfiltered criticism.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	42
Beijing_chapter_one_44944adf		What should I expect?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	43
Beijing_chapter_one_91d33217		This gives me a message on autority and power in this country.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	49
Beijing_chapter_one_ac4dae84		It's better to not believe in it too much.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	50
Beijing_chapter_one_07238411	correction	Perhaps it is human nature to be self centered.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	51
Beijing_chapter_one_7cacfe66	correction	How else is one expected to live in a naturally cruel world?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	52
Beijing_chapter_one_879afaef	correction	perhaps so.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	55
Beijing_chapter_one_886079a1		But most people tka it too far.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	57
Beijing_chapter_one_44e40ba8		They fail to limit ambition or a desire for inhibition.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	58
Beijing_chapter_one_e0ca814e	correction	Maybe...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	59
Beijing_chapter_one_5a6df8ab	correction	Maybe not.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	60
Beijing_chapter_one_7546ba08	fang	But if they really want to preserve Dr Sun's legacy they will have to change their ways.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	63
Beijing_chapter_one_9f6da161	fang	They will listen one way or the other.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	64
Beijing_chapter_one_2b0442d4		I should just focus on getting this interview done.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	65
Beijing_chapter_one_65688079		Times are getting intense these days.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	68
Beijing_chapter_one_0643cf15		We are on the edge of total war - again.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	69
Beijing_chapter_one_93746c6e		I began to adjust my eyes and get used to who was around me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	70
Beijing_chapter_one_868d5e69		Resting my eyes on the previously known "Silhouette" I recognised him as "Professor Po-YeurtTarng".	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	71
Beijing_chapter_one_0d3249c0		Professor Po Yeutarng is a lawyer who is quite well connected wtih Kuomintang "Hawks".	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	72
Beijing_chapter_one_71da1ce9		"Hawks" in the sense that they perch on your shoulder and are aggressive in every action they take.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	73
Beijing_chapter_one_b261c21a		The Professor's very close with my uncle "Ku Hong-Meng".	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	74
Beijing_chapter_one_318d5f40		A scholar who used to work in Peking before he became "enlightened" in a lifestyle of spiritual content and cosmic toiling.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	75
Beijing_chapter_one_a8df9ece		A full time Taoist in essence.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	76
Beijing_chapter_one_e43593d9		Professor Po Yeutarng on request of Uncle Ku had come to interview me to clear of any charges or suspicions with communist acivity.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	77
Beijing_chapter_one_ffbc49f9		All three of us knew that I was in no way connected with communists or had any clear sympathies for them.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	78
Beijing_chapter_one_098a0448		The interview still had to be carried out superficially... just to clear my name.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	79
Beijing_chapter_one_a6a51481		It was also a good oppurunity to evaluate my situation and possible choices.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	80
Beijing_chapter_one_3a9037d4	Po	Are you Ready Fang?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	82
Beijing_chapter_one_918c48d7	composure	Succeeded in focussing.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	90
Beijing_chapter_one_b26faed2	fang	Please give me a minute to think.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	92
Beijing_chapter_one_e7df5d21	Po	That's fine,	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	93
Beijing_chapter_one_7be05b1c		Normally I would be ready to answer any question coming my way.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	94
Beijing_chapter_one_3912217c		I never passed up answering a question.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	95
Beijing_chapter_one_3fcd3c4f		Beads of sweat formed on my brow.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	96
Beijing_chapter_one_614097d8		Summer had just ended so the heat was burning out like some star.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	97
Beijing_chapter_one_d2652c32		I controlled my air-flow and calmed myself down.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	98
Beijing_chapter_one_f21effee		I can do this.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	99
Beijing_chapter_one_7b905bcc	Po	I don't think you did anything wrong.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	100
Beijing_chapter_one_e9bd4422	Po	You're young.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	101
Beijing_chapter_one_9b6ea166	Po	You have this burning fire in you that can't be matched.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	102
Beijing_chapter_one_83f4577b	Po	You have to vent it out somewhere.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	103
Beijing_chapter_one_4fb3a794	Po	Those hawks will let you go...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	104
Beijing_chapter_one_da290e5d	Po	unless they see you have an incentive to believe in communism through traits such as poverty.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	105
Beijing_chapter_one_ae2a73a0	Po	Which means that any of the other kids that were protesting and weren't affluent can be suspected more harshly as "communists" due to their economic conditions.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	106
Beijing_chapter_one_f396f08a	Po	I'll have to interview them as well.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	107
Beijing_chapter_one_7916df15	Po	I can spot damn communists really well.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	108
Beijing_chapter_one_48f94ad3	visualcomprehension	I mean you can tell by that patriotic insignia he wears.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	110
Beijing_chapter_one_bda34fca	visualcomprehension	Normally he wears a coat to cover it up or keep the coat resting on his shoulder.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	111
Beijing_chapter_one_652a8cbe	logic	Why would he hide it?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	112
Beijing_chapter_one_64637703	visualcomprehension	He's not part of any Kuomintang adminstration based on his job or uniform.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	113
Beijing_chapter_one_d5641dc3	visualcomprehension	So you can guess why he wears that at all.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	114
Beijing_chapter_one_1145d92b		Professor Po wore the insignia of the Kuomintang flag on his arm.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	115
Beijing_chapter_one_b905bae5		It looked well stitched and taken care of.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	116
Beijing_chapter_one_17bbfda7	Po	You spotted that?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	117
Beijing_chapter_one_b48fe732	Po	Good eye there.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	118
Beijing_chapter_one_744d757a	visualcomprehension	I know.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	119
Beijing_chapter_one_4db073b0		Professor Po brushed it lightly.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	120
Beijing_chapter_one_319cdcd6	Po	I do this to preserve Dr Sun's legacy.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	121
Beijing_chapter_one_b87df987		Professor Po smirked.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	122
Beijing_chapter_one_11c544a0	Po	Unlike that "Generalissimo" Chiang.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	123
Beijing_chapter_one_c9a922ce		Professor Po let out a large sigh.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	124
Beijing_chapter_one_e8a4423b	Po	Communists are the worst	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	125
Beijing_chapter_one_a9e64536	Po	I hoped they would have lost back in Fusze.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	126
Beijing_chapter_one_0b522172		Professor Po cursed under his breath as he said this.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	127
Beijing_chapter_one_214daa8c	composure	Failed to focus.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	129
Beijing_chapter_one_e9b06702		I tried my best to focus but something kept burning up in me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	130
Beijing_chapter_one_b26adaac		It was painful to confront my own emotions.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	131
Beijing_chapter_one_8462f0d7		The pressure of everything just kept building up.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	132
Beijing_chapter_one_839b35bb		Like a bag of rocks on my back. Like something kept putting in more rocks.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	133
Beijing_chapter_one_4e9a14ba		Whose burdem am I carrying?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	134
Beijing_chapter_one_c2adc95d		The flames of stress and neuroticism just growing and expanding.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	135
Beijing_chapter_one_124ab931		Life feels like a fucking nightmare.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	136
Beijing_chapter_one_62a67f4f	fang	I'm ready.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	137
Beijing_chapter_one_7981162e	Po	Well Let us start now.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	139
Beijing_chapter_one_cfdaaa84	Po	The hawks want to know more about you this will information will help you reflect on what you want to do with the looming war.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	140
Beijing_chapter_one_7e5dbfb1	Po	War's harsh isn't it?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	141
